snlgroup_id 1,snlgroup_id 2,snl_id 1,snl_id 2,shared icsd_id,matches
151156,151160,335420,335423,94014,False
151156,151160,335420,335494,94014,False
151156,151160,335420,335507,94014,False
150540,150539,334195,334194,15893,False
151160,151159,335423,335422,94014,False
150539,150538,334194,334193,15893,False
150795,150790,334642,334635,25569,False
150790,150778,334635,334616,25569,False
150778,150776,334616,334614,25569,False
151159,151157,335422,335419,94014,False
151159,151157,335422,335502,94014,False
151159,151157,335422,335514,94014,False
154854,117694,351770,260942,110703,False
151876,116812,338696,259674,109280,False
13061,85689,16345,150826,72197,True/True/True/True
153840,113652,347795,249784,97702,False
85381,3744,146074,4438,29257,False
85381,3744,146074,195522,29257,False
150651,150642,334418,334397,200412,False
150642,150634,334397,334389,200412,False
150634,150635,334389,334390,200412,False
150634,150635,334389,334417,200412,False
150635,150627,334390,334372,200412,False
174863,174900,403423,404182,42537,True/True/True/True
174862,20156,403419,25698,44885,False
174862,20156,403419,135001,44885,False
174862,20156,403419,167223,44885,False
174862,20156,403419,205911,44885,False
91128,16601,188198,20950,16610,False
151957,152085,339182,340626,245730,False
152085,84588,340626,122735,245730,False
152085,84588,340626,148421,245730,False
152085,84588,340626,156095,245730,False
152085,84588,340626,168905,245730,False
152085,84588,340626,170010,245730,False
152085,84588,340626,171879,245730,False
152085,84588,340626,177303,245730,False
36687,34876,50799,160056,33647,False
36687,34876,50799,175078,33647,False
84897,85195,136370,142746,64850,False
84897,85195,136370,172787,64850,False
90484,500,186227,28496,10424,False
114936,151889,252531,338733,100560,False
114936,151889,252531,342390,100560,False
84964,33370,138425,44951,108746,True/True/True/True
84964,33370,138425,127272,108746,True/True/True/True
84964,33370,138425,259170,108746,True/True/True/True
34763,16363,47397,154138,158517,False
152082,85848,340621,152691,158734,False
153737,95918,347287,201549,40146,False
151998,37178,339711,51409,39632,False
151998,37178,339711,201089,39632,False
150684,123988,334469,334464,23415,True/True/True/True
150684,123988,334469,334468,23415,True/True/True/True
11345,9310,14069,175668,40664,True/True/True/True
151650,7714,337086,9416,30623,True/True/True/True
151650,7714,337086,122836,30623,True/True/True/True
153418,151642,346335,337053,36011,False
174868,20110,403444,25642,44764,False
174868,20110,403444,155575,44764,False
174868,20110,403444,205798,44764,False
174868,20110,403444,404247,44764,False
19706,174865,25105,403439,76205,False
93804,23002,195849,162194,30215,False
93804,23002,195849,340349,30215,False
8375,94994,10189,199236,36011,False
174864,3268,403436,3830,158650,False
174864,3268,403436,269328,158650,False
174864,3268,403436,404184,158650,False
151717,33471,337671,45095,109039,False
151717,33471,337671,259444,109039,False
85141,23408,141733,40488,633467,False
85141,23408,141733,128926,633467,False
151002,151001,335007,335008,35636,False
151002,151001,335007,335018,35636,False
152083,151946,340622,339022,24216,False
152083,151946,340622,339127,24216,False
84717,15119,127946,18985,80075,True/True/True/True
84717,15119,127946,232808,80075,True/True/True/True
152046,116309,340443,257829,158193,False
152046,116309,340443,258111,158193,False
116309,86909,257829,168060,158193,False
18827,1297,23932,162645,42493,True/True/True/True
