category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,Na1 Nb1 O3,44640,137,,6251,221,mp-3136,,,,,
diff. SGs,Na1 Nb1 O3,42245,95,,9139,29,mp-558920,,,,,
diff. SGs,Na1 Nb1 O3,42245,95,,36148,57,mp-3671,,,,,
diff. SGs,Na1 Nb1 O3,9147,26,mp-4681,133708,33,,,,,,
diff. SGs,Na1 Nb1 O3,133708,33,,19754,63,mp-4748,,,,,
diff. SGs,Ba2 In2 O5,152184,1,mp-673678,50485,139,,,,,,
diff. SGs,O3 Pb1 Zr1,136316,221,,8939,38,mp-20337,,,,,
diff. SGs,H6 O6 Te1,30518,228,,16261,210,,,,,,
diff. SGs,F4 V1,174238,7,mp-765233,163758,14,,,,,,
diff. SGs,Al1 La1 O3,129666,74,,129665,140,,,,,,
diff. SGs,Al1 La1 O3,129666,74,,1861,167,mp-2920,,,,,
diff. SGs,F4 V1,174168,15,mp-765926,161264,14,,,,,,
diff. SGs,Al1 La1 O3,129665,140,,1861,167,mp-2920,,,,,
diff. SGs,Ba2 Cu3 O7 Y1,19730,47,,10460,123,,,,,,
diff. SGs,Ba2 Cu3 O7 Y1,19730,47,,10293,115,,,,,,
diff. SGs,Ba2 Cu3 O7 Y1,10460,123,,10293,115,,,,,,
diff. SGs,Fe2 Li3 O8 Si2,174352,1,mp-764102,164226,7,,,,,,
diff. SGs,Ba1 H2 O2,99091,14,mp-626973,151173,7,,,,,,
diff. SGs,Ba1 H2 O2,151175,14,mp-627016,151173,7,,,,,,
diff. SGs,Ni1 Ti1,87442,11,,3050,51,mp-603347,,,,,
diff. SGs,Ni1 Ti1,3051,11,mp-1048,86568,10,,,,,,
diff. SGs,Ni1 Ti1,3752,143,,2776,157,mp-597,,,,,
diff. SGs,Ni1 Ti1,3752,143,,2272,147,mp-2716,,,,,
diff. SGs,F4 Li2 V1,174734,13,mp-777448,170668,14,,,,,,
diff. SGs,Li1 O12 P4 W1,174195,2,mp-763459,162201,15,,,,,,
diff. SGs,U1,95465,123,,155660,221,,,,,,
diff. SGs,Fe1 O2,98387,164,,154930,12,,,,,,
diff. SGs,Ta1,98457,113,,25141,136,mp-697196,,,,,
same SGs,Ta1,30956,225,,11113,225,mp-6986,,,,,
same SGs,H1 Na1 O1,150482,160,,150480,160,,,,,,
diff. SGs,N1 O3 Rb1,162908,155,mp-752446,54074,160,,,,,,
diff. SGs,N1 O3 Rb1,100335,207,,100203,221,,,,,,
diff. SGs,Cu2 Se1,50305,31,mp-684653,50239,41,,,,,,
diff. SGs,Mg1 O1,130243,194,,4210,186,mp-549706,,,,,
diff. SGs,O8 V4 Yb1,105400,62,,3366,14,,,,,,
diff. SGs,Ag1 F2 Li1,173992,5,mp-752767,163235,166,,,,,,
diff. SGs,F8 Fe3 Li2,174702,2,,170471,15,,,,,,
diff. SGs,Fe1 O1,174127,12,mp-756436,174094,194,,,,,,
diff. SGs,Fe1 O1,174127,12,mp-756436,159400,14,,,,,,
diff. SGs,Fe1 O1,159416,12,,154112,225,,,,,,
diff. SGs,Fe1 O1,154257,166,,7462,225,mp-18905,,,,,
diff. SGs,Fe1 O1,154257,166,,84557,139,mp-715262,,,,,
diff. SGs,Fe1 O1,158628,9,,174071,186,mp-781777,,,,,
diff. SGs,H2 O2 Zn1,150775,19,,150774,4,,,,,,
diff. SGs,Li1 O2 V1,174679,74,mp-775331,174640,12,,,,,,
diff. SGs,Li1 O2 V1,174679,74,mp-775331,170251,141,,,,,,
diff. SGs,Li1 O2 V1,174640,12,,170251,141,,,,,,
diff. SGs,Mn1 O6 Ta2,52307,13,,51479,60,mp-34475,,,,,
diff. SGs,Mn1 O6 Ta2,52307,13,,51312,14,,,,,,
diff. SGs,Mn1 O6 Ta2,51479,60,mp-34475,51312,14,,,,,,
diff. SGs,Li2 Ni1 O4 Si1,174035,4,mp-767302,157358,20,,,,,,
diff. SGs,Ag3 I1 S1,152205,1,mp-673825,50614,42,,,,,,
diff. SGs,B1 H6 N1,130213,4,,124496,36,,,,,,
diff. SGs,Nb2 O5,46213,12,,152825,1,mp-680944,,,,,
diff. SGs,O2 Si1,40265,14,,37341,33,,,,,,
diff. SGs,O2 Si1,40265,14,,42753,62,,,,,,
diff. SGs,C1 Cs4 O4,35558,121,,151953,5,mp-645330,,,,,
diff. SGs,Ag1 I1,50006,119,,49909,44,,,,,,
diff. SGs,Mo1 O2,154270,44,,87811,227,mp-25578,,,,,
diff. SGs,Mo1 O2,154270,44,,154933,2,mp-715482,,,,,
diff. SGs,Mo1 O2,154270,44,,151680,70,mp-635966,,,,,
diff. SGs,Mo1 O2,154270,44,,154925,141,mp-714969,,,,,
